"","Plotnummer","n_trees","n_species","n_ash","n_bah","location","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","Verbiss","comment","Rueckegasse"
"231",8814,16,3,13,1,"goe_ans",14.19,10.5,57,5,0,0,0,0,"",FALSE
"232",8815,42,4,29,10,"goe_ans",13.17,12,25,5,2,1,3,1,"",TRUE
"233",1,41,3,24,16,"lau",17.61,10,57,3,0,1,1,4,"",FALSE
"234",2,25,2,15,10,"lau",14.88,13,32,6,0,1,1,0,"",FALSE
"235",3,33,2,12,21,"lau",17.21,15,51,3,0,0,0,0,"",FALSE
"236",4,43,4,13,26,"lau",19.7,20,49,4,0,0,0,0,"",FALSE
"237",5,45,3,13,27,"lau",26.49,24,57,9,0,0,0,1,"",FALSE
"238",6,31,2,18,13,"lau",27,23,79,6,0,1,1,1,"viel totholz und daher krummer Eschenwuchs",FALSE
"239",7,6,1,6,0,"lau",7.5,7,12,4,0,0,0,0,"Baum 116 30cm neben der Ostkante, Baum ist dick genug um den Plot dennoch halb zu überdecken",FALSE
"240",8,5,2,2,3,"lau",10.2,8,15,7,0,0,0,0,"",FALSE
"241",9,25,2,1,24,"lau",12.48,10,39,2,0,0,0,0,"",FALSE
"242",10,23,3,2,19,"lau",11.78,10,21,7,0,1,1,1,"",FALSE
"243",11,0,0,0,0,"lau",NA,NA,NA,NA,0,0,0,0,"keine Bäume",FALSE
"244",12,13,3,1,11,"lau",27.54,24,78,5,0,0,0,0,"tot",FALSE
"245",13,1,1,0,1,"lau",126,126,126,126,0,0,0,0,"sehr viel totholz",FALSE
"246",14,3,1,3,0,"lau",38,49,57,8,0,0,0,0,"",TRUE
"247",15,9,2,5,4,"lau",11.22,8,29,6,0,0,0,0,"",TRUE
"248",16,11,3,1,9,"lau",8.18,7,17,5,0,0,0,0,"",TRUE
"249",17,7,3,0,5,"lau",7.86,7,15,4,0,0,0,0,"",TRUE
"250",18,28,4,12,13,"lau",7.71,7,16,4,0,0,0,0,"",TRUE
"251",19,42,4,23,17,"lau",8.12,7.5,18,2,0,0,0,0,"",TRUE
"252",20,33,4,16,10,"lau",7.76,7,17,3,0,0,0,0,"",TRUE
"253",21,62,4,32,26,"lau",14.03,10,41,3,0,0,0,1,"",TRUE
"254",22,55,3,21,33,"lau",22.93,18,61,5,2,3,4,3,"",FALSE
"255",23,50,2,22,28,"lau",25.3,21.5,59,4,2,0,2,6,"",FALSE
"256",24,66,5,31,31,"lau",17.71,16.5,39,5,0,0,0,7,"",FALSE
"257",25,86,5,42,39,"lau",13.45,9,46,4,1,0,1,5,"tot",FALSE
"258",26,36,4,10,24,"lau",18.97,17,48,5,0,0,0,1,"",FALSE
"259",27,58,5,20,35,"lau",17.84,16.5,47,6,0,0,0,1,"",FALSE
"260",28,43,4,18,23,"lau",22.4,20,50,4,0,0,0,7,"",FALSE
"261",29,44,3,24,18,"lau",29.77,30,54,5,0,0,0,15,"Tiere haben die Stäbe bearbeitet , keine markierten Eschen wieder gfefunden",FALSE
"262",30,22,2,14,8,"lau",37.18,35.5,74,10,0,2,2,7,"",FALSE
"263",31,51,3,16,34,"lau",11.2,10,25,4,2,0,2,0,"tot",FALSE
"264",32,15,2,6,9,"lau",20.6,11,101,4,0,0,0,0,"",FALSE
"265",33,1,1,1,0,"lau",10,10,10,10,0,0,0,0,"baum 98 auf der Westkante",FALSE
"266",34,43,3,21,21,"lau",13.49,11,38,6,0,0,0,0,"",FALSE
"267",35,8,3,5,2,"lau",11.62,11.5,16,8,0,0,0,0,"Baum 97 liegt 10 cm neben westkante (außerhalb)",FALSE
"268",36,9,2,8,1,"lau",10.22,8,26,4,0,0,0,0,"",FALSE
"269",37,27,4,16,9,"lau",14.67,13,31,4,0,0,0,2,"",FALSE
"270",38,19,3,2,16,"lau",17.84,19,31,8,0,0,0,0,"",FALSE
"271",39,13,2,5,8,"lau",27.92,29,55,5,0,0,0,2,"",FALSE
"272",40,8,3,2,4,"lau",30,29,50,13,1,0,1,0,"",FALSE
"273",41,7,3,2,3,"lau",11.14,11,15,7,0,0,0,0,"",FALSE
"274",42,15,3,3,11,"lau",15.47,14,27,7,0,0,0,0,"",FALSE
"275",43,4,2,2,2,"lau",32.75,30,60,11,0,0,0,1,"",FALSE
"276",44,1,1,1,0,"lau",34,34,34,34,0,0,0,0,"",FALSE
"277",45,13,3,7,5,"lau",27.46,26,64,5,0,0,0,3,"",FALSE
"278",46,6,2,3,3,"lau",18,12.5,36,6,0,0,0,0,"",FALSE
"279",47,25,2,9,16,"lau",48.56,39,125,4,2,1,3,5,"",FALSE
"280",48,9,2,4,5,"lau",13.67,13,19,6,0,0,0,0,"viel totholz auf dem Plot",FALSE
"281",49,38,3,24,13,"lau",28.55,27,68,6,1,2,3,15,"",FALSE
"282",50,33,3,20,11,"lau",25.58,25,62,8,0,0,0,6,"",FALSE
