"OBJECTID,N,10,0","Species,C,80","Height,N,19,11","Spread,N,19,11","Condition,C,80","Illness,C,1","Photo,C,80","TrunkDiam,N,19,11","MV_NR,C,10","zdztfzzt_T,C,254","zdztfzzt_1,C,254","zdztfzzt_2,C,254","zdztfzzt_3,C,254","zdztfzzt_4,C,254","zdztfzzt_5,N,19,11","zdztfzzt_6,C,254","zdztfzzt_7,C,254","zdztfzzt_8,C,254","zdztfzzt_9,C,254","x,N,19,11","y,N,19,11","BA_Gruppe,C,10","RASTERVALU,N,13,11","BHD,N,19,11","Bemerkunge,C,50"
78,Oak,78,0,,F,,0,78,Gem. Esche,,F,,,169.7,,,,,33400000,5992085.767,Es,54.6181,54.5,
79,Cherry,79,0,,F,,0,79,Rotbuche,,F,,,0,,,,,33400000,5992079.512,Bu,51.4565,31.5,
80,Oak,80,0,,F,,0,80,Gem. Esche,,F,,,215,,,,,33400000,5992077.002,Es,52.1768,69.4,
81,Cherry,81,0,,F,,0,81,Rotbuche,,F,,,0,,,,,33400000,5992079.917,Bu,51.4316,43.5,
82,Cherry,82,0,,F,,0,82,Rotbuche,,F,,,0,,,,,33400000,5992072.865,Bu,52.4843,33,
83,Oak,83,0,,F,,0,83,Gem. Esche,,F,,,175.8,,,,,33400000,5992076.87,Es,52.5572,56.3,
84,Oak,84,0,,F,,102.24,84,Gem. Esche,,,,,0,,,,,33400000,5992076.748,Es,51.9023,68,
85,Cherry,84,0,,F,,0,113,Rotbuche,,,,,0,,,,,33400000,5992072.464,Bu,51.3194,34.5,
86,Oak,85,0,,F,,0,85,Gem. Esche,,F,,,219,,,,,33400000,5992068.067,Es,50.0955,69.8,
87,Oak,86,0,,F,,0,86,Gem. Esche,,F,,,205.2,,,,,33400000,5992059.173,Es,50.7477,65.8,
88,Cherry,87,0,,F,,0,87,Rotbuche,,F,,,0,,,,,33400000,5992064.57,Bu,52.2127,63,
89,Cherry,88,0,,F,,0,88,Rotbuche,,F,,,0,,,,,33400000,5992061.808,Bu,50.0929,31.5,
90,Elm,89,0,,F,,0,89,Hainbuche,,F,,,0,,,,,33400000,5992061.306,Hbu,48.7199,32.5,
91,Oak,90,0,,F,,0,90,Gem. Esche,,F,,,219,,,,,33400000,5992058.208,Es,52.2282,70.1,
92,Oak,91,0,,F,,0,91,Gem. Esche,,F,,,158.9,,,,,33400000,5992050.728,Es,51.529,51.1,
93,Oak,92,0,,F,,0,92,Gem. Esche,,F,,,224,,,,,33400000,5992058.311,Es,53.2091,71.4,
94,Oak,93,0,,F,,0,93,Gem. Esche,,F,,,223.5,,,,,33400000,5992076.24,Es,52.4932,71.7,
95,Oak,94,0,,F,,102.29,94,Gem. Esche,,F,10.2.29,,190.2,,,,,33400000,5992081.47,Es,51.7492,60.7,
96,Oak,95,0,,F,,102.3,95,Gem. Esche,,F,10.2.30,,171.7,,,,,33400000,5992077.44,Es,50.6563,55.5,
97,Oak,96,0,,F,,0,96,Gem. Esche,,F,,,241.2,,,,,33400000,5992078.056,Es,52.9932,78.1,
98,Oak,97,0,,F,,0,97,Gem. Esche,,F,,,204,,,,,33400000,5992083.829,Es,50.6226,65.6,
99,Cherry,98,0,,F,,0,98,Rotbuche,,F,,,0,,,,,33400000,5992091.003,Bu,50.7975,35,
100,,0,0,,F,,0,,,,,,,0,,,,,33398523.53,5992066.625,,51.2939,0,
101,,0,0,,F,,0,,,,,,,0,,,,,33398668.63,5992061.688,,47.3731,0,
102,Oak,99,0,,F,,0,99,Gem. Esche,,F,,,194.3,,,,,33398636.44,5992148.405,Es,48.8195,61.5,
103,Cherry,100,0,,F,,0,100,Rotbuche,,F,,,0,,,,,33398540.55,5992099.304,Bu,53.1449,81,
104,Oak,101,0,,F,,0,101,Gem. Esche,,F,,,192.5,,,,,33398542.8,5992104.655,Es,53.44,60.7,
105,Cherry,102,0,,F,,0,102,Rotbuche,,F,,,0,,,,,33398546.95,5992109.241,Bu,48.6995,49,
106,Cherry,103,0,,F,,0,103,Rotbuche,,F,,,0,,,,,33398552.34,5992110.317,Bu,50.9924,36,
