OBJECTID,NR_FM,BNR,ART,wb_H_M,wb_Kraft,wb_KZSTND_,wb_WR_kron,wb_Notiz,xcoord,ycoord,DBH_mm,BHD_CM,Height_m,Status,Schicht,BA_Gruppe
44,174,174,Fraxinus excelsior,37.2,1,1.5,1,,430155.52,5893469.56,0,46.5,"37,2",,0,Es
45,175,175,Fraxinus excelsior,31.33,3,3.5,2,,430157.35,5893470.12,0,31,"31,33",,0,Es
46,176,176,Fraxinus excelsior,33,1,1.5,1,R+,430166.01,5893473.12,0,38.5,33,,0,Es
47,177,177,Fraxinus excelsior,36.54,1,3,1,,430157.85,5893461.14,0,58,"36,54",,0,Es
48,183,183,Fraxinus excelsior,30.55,2,3,2,,430185.2,5893461.69,0,28,"30,55",,0,Es
49,184,184,Fraxinus excelsior,29.78,2,3,2,R-,430184.68,5893471.98,0,38,"29,78",,0,Es
50,185,185,Fraxinus excelsior,32.12,2,2.5,1,,430188.31,5893458.68,0,35.5,"32,12",,0,Es
51,186,186,Fraxinus excelsior,29.33,3,3,2,,430190.8,5893457.26,0,30,"29,33",,0,Es
52,188,188,Fraxinus excelsior,34.57,1,1.5,1,R+,430187.87,5893451.2,0,56,"34,57",,0,Es
53,189,189,Fraxinus excelsior,30.2,1,2.5,2,190 ist tot,430184.67,5893437.3,0,101,"30,2",,0,Es
54,191,191,Fraxinus excelsior,23.31,3,3,2,,430177.99,5893451.54,0,20,"23,31",,0,Es
55,198,198,Fraxinus excelsior,35.92,2,2.5,1,,430160.45,5893455.73,0,47.5,"35,92",,0,Es
56,199,199,Fraxinus excelsior,36.36,1,3,1,,430159.4,5893450.95,0,53,"36,36",,0,Es
57,200,200,Fraxinus excelsior,35.2,1,2.5,2,,430109.51,5893488.23,0,42.5,"35,2",,0,Es
58,201,201,Fraxinus excelsior,34.8,1,3.5,2,Resistograf,430106.29,5893489.72,0,50.5,"34,8",,0,Es
59,202,202,Fraxinus excelsior,34.6,2,4,2,,430104.9,5893488.79,0,48,"34,6",,0,Es
60,208,208,Fraxinus excelsior,31.2,3,3,?,,430108.86,5893464.37,0,40,"31,2",,0,Es
61,209,209,Fraxinus excelsior,35,2,3,2,,430116.69,5893463.01,0,41,35,,0,Es
62,210,210,Fraxinus excelsior,35.3,1,2.5,2,,430117.64,5893460.64,0,52.5,"35,3",,0,Es
63,211,211,Fraxinus excelsior,34.23,2,2.5,2,,430120.62,5893458.24,0,40,"34,23",,0,Es
64,216,216,Fraxinus excelsior,34,2,2,2,,430111.66,5893454.99,0,40,34,,0,Es
65,217,217,Fraxinus excelsior,32.7,2,1.5,2,,430107.62,5893459,0,39,"32,7",,0,Es
66,221,221,Fraxinus excelsior,38.3,1,1.75,0,R+,430103.84,5893453.97,0,52,"38,3",,0,Es
67,222,222,Fraxinus excelsior,27.9,4,4,1,,430102.74,5893448.2,0,25,"27,9",,0,Es
68,223,223,Fraxinus excelsior,34.8,2,4,3,R-,430105.66,5893446.55,0,35,"34,8",,0,Es
69,224,224,Fraxinus excelsior,32.7,3,4,2,,430106.59,5893440.18,0,31,"32,7",,0,Es
70,226,226,Fraxinus excelsior,31.97,3,4,2,,430116.99,5893427.23,0,48,"31,97",,0,Es
71,227,227,Fraxinus excelsior,37.13,1,1,0,,430108.74,5893423.72,0,59,"37,13",,0,Es
72,228,228,Fraxinus excelsior,38.19,2,3,2,,430108.61,5893432.27,0,54.5,"38,19",,0,Es
73,229,229,Fraxinus excelsior,36.8,2,4,0,,430098.17,5893449.37,0,48,"36,8",,0,Es
